image,tier,backend,execution_providers,simulated,tp,fp,fn,vru_in_gt,vru_in_pred,n_preds,n_gt,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source
006620.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,18,7,53.0,0.12475109100341797,69.0,2002.0,nvml
006621.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,20,7,53.0,0.12475109100341797,69.0,2040.0,nvml
006622.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,72,12,58.0,0.12475109100341797,69.0,2055.0,nvml
006623.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,2,9,2,True,True,40,9,58.0,0.12475109100341797,69.0,1980.0,nvml
006624.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,52,9,58.0,0.12475109100341797,69.0,2025.0,nvml
006625.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,54,14,58.0,0.12475109100341797,68.0,2017.0,nvml
006626.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,5,3,58.0,0.12475109100341797,68.0,2055.0,nvml
006627.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,4,12,0,True,True,47,8,58.0,0.12475109100341797,68.0,2047.0,nvml
006628.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,18,0,True,True,60,8,54.0,0.12475109100341797,68.0,1942.0,nvml
006629.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,18,0,True,True,65,9,54.0,0.12475109100341797,68.0,2055.0,nvml
006630.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,51,10,54.0,0.12475109100341797,68.0,2047.0,nvml
006631.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,31,6,54.0,0.12475109100341797,68.0,2055.0,nvml
006632.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,8,0,True,True,54,9,54.0,0.12475109100341797,68.0,1987.0,nvml
006633.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,29,6,57.0,0.12475109100341797,68.0,2032.0,nvml
006634.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,25,5,57.0,0.12475109100341797,68.0,2017.0,nvml
006635.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,1,True,False,42,8,57.0,0.12475109100341797,68.0,2055.0,nvml
006636.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,4,0,False,True,18,5,57.0,0.12475109100341797,68.0,2055.0,nvml
006637.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,48,11,57.0,0.12475109100341797,68.0,1950.0,nvml
006638.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,84,10,57.0,0.12475109100341797,69.0,2010.0,nvml
006639.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,10,1,True,True,114,15,55.0,0.12475109100341797,69.0,2010.0,nvml
006640.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,34,8,55.0,0.12475109100341797,69.0,2032.0,nvml
