21:49:52  INFO     [RAMS] Starting resource monitor ...
21:49:52  INFO     [RAMS] Loading model tiers ...
[0;93m2026-09-08 21:49:53.006609326 [W:onnxruntime:Default, device_discovery.cc:164 DiscoverDevicesForPlatform] GPU device discovery failed: device_discovery.cc:89 ReadFileContents Failed to open file: "/sys/class/drm/card0/device/vendor"[m
22:05:27  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.619)
22:05:28  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.631)
22:05:28  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.600)
22:05:29  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.656)
22:05:29  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.604)
22:05:30  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.611)
22:05:30  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.602)
22:05:31  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.618)
22:05:31  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.589)
22:05:34  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.629)
22:05:34  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.657)
22:05:37  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.679)
22:05:37  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.672)
22:05:39  INFO     [RAMS] Tier switch: MEDIUM → SMALL  (R=0.662)
22:05:40  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.733)
22:05:40  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.657)
22:05:43  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.636)
22:05:43  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.607)
22:05:45  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.638)
22:05:45  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.602)
22:05:46  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.625)
[safety2, conf=0.40] 800/1500
22:05:46  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.592)
22:05:47  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.609)
22:05:47  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.599)
22:05:47  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.614)
22:05:49  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.627)
22:05:49  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.590)
22:05:51  INFO     [RAMS] Tier switch: MEDIUM → SMALL  (R=0.629)
22:05:52  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.625)
22:05:53  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.598)
22:05:53  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.619)
22:05:54  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.631)
22:05:54  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.631)
22:06:01  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.691)
22:06:02  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.656)
22:06:02  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.673)
22:06:03  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.674)
22:06:03  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.633)
22:06:03  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.633)
22:06:05  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.621)
22:06:06  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.586)
22:06:07  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.601)
22:06:09  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.631)
22:06:09  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.605)
22:06:10  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.633)
22:06:10  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.598)
22:06:10  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.611)
[safety2, conf=0.40] 900/1500
22:06:14  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.633)
22:06:14  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.602)
22:06:15  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.625)
